Topic,SL No,Quote,Author
Viewing tag:inspirational,1,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein
Viewing tag:inspirational,2,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe
Viewing tag:inspirational,3,"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison
Viewing tag:inspirational,4,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe
Viewing tag:inspirational,5,"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",Elie Wiesel
Viewing tag:inspirational,6,"“To the well-organized mind, death is but the next great adventure.”",J.K. Rowling
Viewing tag:inspirational,7,“It is never too late to be what you might have been.”,George Eliot
Viewing tag:inspirational,8,“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis
Viewing tag:inspirational,9,“Only in the darkness can you see the stars.”,Martin Luther King Jr.
Viewing tag:inspirational,10,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller
Viewing tag:life,1,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein
Viewing tag:life,2,“It is better to be hated for what you are than to be loved for what you are not.”,André Gide
Viewing tag:life,3,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe
Viewing tag:life,4,"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",Douglas Adams
Viewing tag:life,5,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain
Viewing tag:life,6,“Life is what happens to us while we are making other plans.”,Allen Saunders
Viewing tag:life,7,"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",Dr. Seuss
Viewing tag:life,8,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein
Viewing tag:life,9,“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw
Viewing tag:life,10,“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,Ralph Waldo Emerson
Viewing tag:humor,1,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen
Viewing tag:humor,2,"“A day without sunshine is like, you know, night.”",Steve Martin
Viewing tag:humor,3,“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,Garrison Keillor
Viewing tag:humor,4,“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson
Viewing tag:humor,5,“All you need is love. But a little chocolate now and then doesn't hurt.”,Charles M. Schulz
Viewing tag:humor,6,"“Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”",Suzanne Collins
Viewing tag:humor,7,“Some people never go crazy. What truly horrible lives they must lead.”,Charles Bukowski
Viewing tag:humor,8,"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",Terry Pratchett
Viewing tag:humor,9,"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",Dr. Seuss
Viewing tag:humor,10,“The reason I talk to myself is because I’m the only one whose answers I accept.”,George Carlin
Viewing tag:books,1,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen
Viewing tag:books,2,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain
Viewing tag:books,3,“I have always imagined that Paradise will be a kind of library.”,Jorge Luis Borges
Viewing tag:books,4,“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis
Viewing tag:books,5,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",Haruki Murakami
Viewing tag:books,6,“There is no friend as loyal as a book.”,Ernest Hemingway
Viewing tag:books,7,"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",J.D. Salinger
Viewing tag:books,8,“′Classic′ - a book which people praise and don't read.”,Mark Twain
Viewing tag:books,9,"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",Jane Austen
Viewing tag:books,10,"“You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”",Madeleine L'Engle
Viewing tag:reading,1,"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”",Dr. Seuss
Viewing tag:reading,2,“We read to know we're not alone.”,William Nicholson
Viewing tag:reading,3,"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”",George R.R. Martin
Viewing tag:reading,4,“You can never get a cup of tea large enough or a book long enough to suit me.”,C.S. Lewis
Viewing tag:reading,5,"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",J.D. Salinger
Viewing tag:reading,6,“′Classic′ - a book which people praise and don't read.”,Mark Twain
Viewing tag:reading,7,"“I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”",Jane Austen
Viewing tag:friendship,1,"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche
Viewing tag:friendship,2,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain
Viewing tag:friendship,3,"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley
Viewing tag:friendship,4,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Jane Austen
Viewing tag:friendship,5,“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Alfred Tennyson
Viewing tag:friends,1,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe
Viewing tag:friends,2,"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",J.K. Rowling
Viewing tag:friends,3,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain
Viewing tag:friends,4,“There is no friend as loyal as a book.”,Ernest Hemingway
Viewing tag:truth,1,“The reason I talk to myself is because I’m the only one whose answers I accept.”,George Carlin
Viewing tag:truth,2,“A lie can travel half way around the world while the truth is putting on its shoes.”,Mark Twain
Viewing tag:truth,3,"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",J.K. Rowling
Viewing tag:truth,4,“Never tell the truth to people who are not worthy of it.”,Mark Twain
Viewing tag:simile,1,"“A day without sunshine is like, you know, night.”",Steve Martin
Viewing tag:simile,2,"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein
Viewing tag:simile,3,"“He's like a drug for you, Bella.”",Stephenie Meyer
